maintenance_id,robot_id,performed_at,type,engineer_name,notes,next_due_at
1,1,2025-09-01 09:00:00,full,Eng. Dmytro,Check #1,2025-10-01 09:00:00
2,2,2025-09-02 09:00:00,routine,Eng. Halyna,Check #2,2025-10-02 09:00:00
3,3,2025-09-03 09:00:00,sanity,Eng. Petro,Check #3,2025-10-03 09:00:00
4,4,2025-09-04 09:00:00,full,Eng. Dmytro,Check #4,2025-10-04 09:00:00
5,5,2025-09-05 09:00:00,routine,Eng. Halyna,Check #5,2025-10-05 09:00:00
6,1,2025-09-06 09:00:00,sanity,Eng. Petro,Check #6,2025-10-06 09:00:00
7,2,2025-09-07 09:00:00,full,Eng. Dmytro,Check #7,2025-10-07 09:00:00
8,3,2025-09-08 09:00:00,routine,Eng. Halyna,Check #8,2025-10-08 09:00:00
9,4,2025-09-09 09:00:00,sanity,Eng. Petro,Check #9,2025-10-09 09:00:00
10,5,2025-09-10 09:00:00,full,Eng. Dmytro,Check #10,2025-10-10 09:00:00
11,1,2025-09-11 09:00:00,routine,Eng. Halyna,Check #11,2025-10-11 09:00:00
12,2,2025-09-12 09:00:00,sanity,Eng. Petro,Check #12,2025-10-12 09:00:00
13,3,2025-09-13 09:00:00,full,Eng. Dmytro,Check #13,2025-10-13 09:00:00
14,4,2025-09-14 09:00:00,routine,Eng. Halyna,Check #14,2025-10-14 09:00:00
15,5,2025-09-15 09:00:00,sanity,Eng. Petro,Check #15,2025-10-15 09:00:00
